R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo,Unnamed: 35,Broj povrijeđenih osoba,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Kategorija saobraćajnice.1,Datum i vrijeme nastanka saobraćajne nezgode,Dio dana,Stanje kolovoza.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Broj poginulih osoba.1,Unnamed: 73,Unnamed: 74,Tip saobraćajne nezgode (izvorno iz zapisnika MUP-a),Tip saobraćajne nezgode,Putnički automobil.1,Pješak.1,Romobil.1,Bicikl.1,Motocikl.1,Lako teretno vozilo.1,Teško teretno vozilo.1,Autobus.1,Traktor.1,Ostalo.1,Unnamed: 87
42,43.899215,18.35559,Lokalna cesta,16.03.2022.,15:05:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43.901708,18.347048,Lokalna cesta,21.03.2022.,08:10:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,43.882264,18.383646,Lokalna cesta,23.03.2022.,11:05:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,43.901005,18.340689,Lokalna cesta,25.03.2022.,19:20:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,43.902442,18.338276,Lokalna cesta,06.05.2022.,18:40:00,Kiša,Sumrak,Mokar,0,0,2,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,43.894093,18.362027,Lokalna cesta,10.07.2022.,17:55:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,43.900033,18.346912,Lokalna cesta,16.07.2022.,19:05:00,Vedro,Noć,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,43.85395,18.38498,Lokalna cesta,28.02.2022.,14:10:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,43.85864,18.41402,Magistralna cesta,20.05.2022.,12:05:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,43.85251,18.38521,Magistralna cesta,19.07.2022.,01:15:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,43.843588,18.33269,Magistralna cesta,04.03.2022.,18:45:00,Vedro,Sumrak,Suh,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,43.843786,18.334426,Magistralna cesta,12.05.2022.,21:50:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,43.843786,18.334426,Magistralna cesta,12.06.2022.,20:10:00,Vedro,Noć,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,43.844524,18.33743,Magistralna cesta,18.06.2022.,06:25:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,43.843786,18.334426,Magistralna cesta,30.07.2022.,12:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,43.841315,18.322358,Magistralna cesta,15.01.2022.,08:40:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,43.840392,18.321088,Magistralna cesta,01.04.2022.,17:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,43.840392,18.321088,Magistralna cesta,31.07.2022.,14:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,43.843802,18.33235,Magistralna cesta,11.04.2022.,07:40:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,43.841884,18.277206,Regionalna cesta,06.05.2022.,08:20:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,43.8283,18.314621,Regionalna cesta,27.01.2022.,18:30:00,Kiša,Sumrak,Mokar,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,43.819935,18.310496,Regionalna cesta,14.05.2022.,17:20:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,,1.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,43.830599,18.31087,Regionalna cesta,29.06.2022.,17:15:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,43.795551,18.321804,Regionalna cesta,11.07.2022.,08:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,43.79617,18.32012,Regionalna cesta,11.07.2022.,15:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,43.819935,18.310496,Regionalna cesta,17.07.2022.,22:05:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,43.859498,18.294212,Regionalna cesta,10.01.2022.,11:30:00,Kiša,Dan,Mokar,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,2,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,43.845071,18.321022,Regionalna cesta,19.01.2022.,15:50:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,43.843918,18.327276,Regionalna cesta,06.04.2022.,15:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,,1.0,,,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,43.848184,18.313156,Regionalna cesta,19.04.2022.,14:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,43.848183,18.313159,Regionalna cesta,28.04.2022.,15:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,43.833768,18.312131,Lokalna cesta,14.06.2022.,07:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,43.832208,18.329045,Lokalna cesta,27.01.2022.,09:35:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,43.832336,18.32197,Lokalna cesta,15.02.2022.,06:50:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,43.833431,18.31289,Lokalna cesta,11.05.2022.,07:45:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,1.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,43.830361,18.305311,Lokalna cesta,31.01.2022.,08:10:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,43.830361,18.305311,Lokalna cesta,18.06.2022.,06:15:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,43.831745,18.307765,Lokalna cesta,28.08.2022.,04:00:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,43.79539,18.24574,Regionalna cesta,09.01.2022.,03:30:00,Sa snijegom,Noć,Sa snijegom,0,0,1,Izlijetanje izvan kolovoza,Ruralno,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,43.80624,18.22977,Regionalna cesta,06.02.2022.,20:20:00,Oblačno,Noć,Mokar,0,0,1,Izlijetanje izvan kolovoza,Ruralno,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,43.822502,18.204564,Lokalna cesta,07.04.2022.,20:35:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,43.822323,18.203866,Lokalna cesta,07.07.2022.,17:00:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,43.831249,18.17724,Lokalna cesta,08.08.2022.,15:15:00,Kiša,Dan,Mokar,0,1,0,Sudar vozila i motocikla,Urbano,Dvosmjerna cesta,Krivina,Ne,T-raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,43.852983,18.392933,Regionalna cesta,04.01.2022.,10:40:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,43.858812,18.401181,Lokalna cesta,19.01.2022.,20:40:00,Nepoznato,Noć,Nepoznato,0,1,0,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,43.85169,18.378777,Magistralna cesta,19.01.2022.,22:20:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,43.850557,18.404174,Lokalna cesta,27.01.2022.,17:30:00,Kiša,Noć,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,43.851986,18.372155,Lokalna cesta,28.01.2022.,11:55:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,43.8516,18.37894,Lokalna cesta,29.01.2022.,18:45:00,Kiša,Noć,Mokar,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,43.847655,18.396644,Regionalna cesta,01.02.2022.,11:20:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,43.852843,18.381862,Magistralna cesta,04.02.2022.,21:00:00,Vedro,Noć,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,43.847625,18.387063,Regionalna cesta,08.02.2022.,20:00:00,Kiša,Noć,Mokar,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,43.85767,18.391409,Lokalna cesta,15.02.2022.,13:53:00,Vedro,Dan,Suh,0,0,1,Udar zadnjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Kružni tok,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,43.852303,18.405611,Lokalna cesta,26.02.2022.,08:20:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,43.849455,18.403314,Magistralna cesta,10.03.2022.,14:40:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,43.85278,18.386305,Magistralna cesta,13.03.2022.,16:15:00,Vedro,Dan,Suh,0,0,3,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,1.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,43.855893,18.384313,Lokalna cesta,25.04.2022.,08:00:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,43.852583,18.384716,Magistralna cesta,10.05.2022.,18:44:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,43.853185,18.389253,Magistralna cesta,12.05.2022.,11:20:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,43.849358,18.368459,Magistralna cesta,18.08.2022.,06:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,43.848254,18.390656,Regionalna cesta,22.08.2022.,21:35:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,43.850914,18.367306,Magistralna cesta,25.08.2022.,12:50:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,43.85285,18.385492,Magistralna cesta,30.08.2022.,12:55:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,43.852396,18.359682,Lokalna cesta,08.01.2022.,13:30:00,Sa snijegom,Dan,Sa snijegom,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,4.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,43.855278,18.365833,Lokalna cesta,05.02.2022.,09:40:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
